# schema=1
# Exact item-ID classification overrides, one row per item:
#   itemId	category	subcategory	[note]
# Moved out of Java in September 2026: the table was 3,635 lines of case
# labels, which is data wearing a switch statement. The Plugin Hub review
# bot counts src/main/java and stops at 200k tokens, and this file alone
# was 14% of it. Behaviour is unchanged - every row was dumped from the
# switch it replaces and compared back.
# Comment lines and the fourth column carry the provenance the case labels
# used to hold; neither is read by the loader.
# Wiki: https://oldschool.runescape.wiki/w/Cannon_barrels_(or)?oldid=15190733
# Only the barrels of the ornamented cannon were listed here, so its
# other three parts scattered across generic gear and storage cleanup.
10	GEAR	cannon-part	Cannon barrels
26524	GEAR	cannon-part	Reversible ornamented cannon barrels
26520	GEAR	cannon-part	Cannon base (or)
26522	GEAR	cannon-part	Cannon stand (or)
26526	GEAR	cannon-part	Cannon furnace (or)
805	GEAR	thrown-weapon	Rune thrownaxe
# Wiki: https://oldschool.runescape.wiki/w/Morrigan's_throwing_axe_(bh)?oldid=15191344
27912	GEAR	thrown-weapon
27914	GEAR	thrown-weapon	Active and inactive Bounty Hunter states remain functional ranged weapons
20714	GEAR	magic-offhand	Tome of fire
25574	GEAR	magic-offhand	Tome of water
30064	GEAR	magic-offhand	Tome of earth
# The registry files both Burning claws and its drop piece under
# SKILLING, which sent a melee weapon to the resources tab. The
# Last Man Standing copy at 33200 stays junk; it is handled below.
29577	GEAR	weapon	Burning claws
29574	GEAR	gear	Burning claw: drop piece that combines into the weapon
28997	GEAR	weapon	Dual macuahuitl
4158	GEAR	weapon	Leaf-bladed spear
11902	GEAR	weapon	Leaf-bladed sword
20727	GEAR	weapon	Leaf-bladed battleaxe
28583	GEAR	weapon	Warped sceptre (uncharged)
28585	GEAR	weapon	Warped sceptre
9084	GEAR	weapon	Lunar staff
# Wiki: https://oldschool.runescape.wiki/w/Dragon_battleaxe_(cr)?oldid=15191318
28037	GEAR	weapon	Normal-game cosmetic dragon battleaxe
10498	GEAR	gear	Ava's attractor
10499	GEAR	gear	Ava's accumulator
22109	GEAR	gear	Ava's assembler
24222	GEAR	gear	Ava's assembler (l)
